location;core;transectid;treatm;fate;predtype;headatt;birdatt;mammatt;missing;destroyed;time;rodent
Dombachgraben;1;DG2;SS;0;none;0;0;0;0;0;5;0
Dombachgraben;1;DG2;LS;0;none;0;0;0;0;0;5;0
Dombachgraben;1;DG2;SS;0;none;0;0;0;0;0;5;0
Dombachgraben;1;DG2;LS;0;none;0;0;0;0;0;5;0
Dombachgraben;1;DG2;SS;0;none;0;0;0;0;0;5;0
Dombachgraben;1;DG2;LS;0;none;0;0;0;0;0;5;0
Dombachgraben;1;DG2;SS;0;none;0;0;0;0;0;5;0
Dombachgraben;1;DG2;SS;0;none;0;0;0;0;0;5;1
Dombachgraben;1;DG3;LS;0;none;0;0;0;0;0;5;0
Dombachgraben;1;DG3;SS;0;none;0;0;0;0;0;5;0
Dombachgraben;1;DG3;LS;0;none;0;0;0;0;0;5;0
Dombachgraben;1;DG3;SS;1;bird;1;1;0;0;0;5;1
Dombachgraben;1;DG3;SS;0;none;0;0;0;0;0;5;0
Dombachgraben;1;DG3;LS;0;none;0;0;0;0;0;5;1
Dombachgraben;1;DG3;SS;0;none;0;0;0;0;0;5;0
Dombachgraben;1;DG3;SS;0;none;0;0;0;0;0;5;0
Dombachgraben;1;DG3;LS;0;none;0;0;0;0;0;5;1
Dombachgraben;1;DG3;SS;0;none;0;0;0;0;0;5;1
Dombachgraben;1;DG3;LS;1;bird;1;1;0;0;0;5;0
Dombachgraben;1;DG3;SS;0;none;0;0;0;0;0;5;1
Dombachgraben;1;DG3;LS;0;none;0;0;0;0;0;5;0
Dombachgraben;1;DG3;SS;0;none;0;0;0;0;0;5;0
Dombachgraben;1;DG3;LS;0;none;0;0;0;0;0;5;0
Dombachgraben;1;DG3;SS;0;none;0;0;0;0;0;5;0
Dombachgraben;1;DG3;LS;0;none;0;0;0;0;0;5;0
Dombachgraben;1;DG3;SS;0;none;0;0;0;0;0;5;1
Dombachgraben;1;DG3;SS;0;none;0;0;0;0;0;5;0
Dombachgraben;1;DG3;SS;0;none;0;0;0;0;0;5;0
Weidlingbach;0;WB1;SS;0;none;0;0;0;0;0;4;0
Weidlingbach;0;WB1;LS;0;none;0;0;0;0;0;4;0
Weidlingbach;0;WB1;SS;0;none;0;0;0;0;0;4;0
Weidlingbach;0;WB1;LS;1;bird;1;1;0;0;0;4;0
Weidlingbach;0;WB1;SS;0;none;0;0;0;0;0;4;0
Weidlingbach;0;WB1;LS;0;none;0;0;0;0;0;4;0
Weidlingbach;0;WB1;SS;0;none;0;0;0;0;0;4;0
Weidlingbach;0;WB1;LS;0;none;0;0;0;0;0;4;0
Weidlingbach;0;WB1;SS;1;bird;1;1;0;0;0;4;1
Weidlingbach;0;WB1;LS;1;bird;1;1;0;0;0;4;1
Weidlingbach;0;WB1;SS;0;none;0;0;0;0;0;4;0
Weidlingbach;0;WB1;LS;1;bird;1;1;0;0;0;4;0
Weidlingbach;0;WB1;SS;0;none;0;0;0;0;0;4;0
Weidlingbach;0;WB1;LS;0;none;0;0;0;0;0;4;0
Weidlingbach;0;WB1;SS;1;bird;0;1;0;0;0;4;0
Weidlingbach;0;WB1;LS;0;none;0;0;0;0;0;4;1
Weidlingbach;0;WB1;SS;0;none;0;0;0;0;0;4;1
Weidlingbach;0;WB1;LS;0;none;0;0;0;0;0;4;1
Weidlingbach;0;WB1;SS;0;none;0;0;0;0;0;4;1
Weidlingbach;0;WB1;LS;0;none;0;0;0;0;0;4;0
Weidlingbach;0;WB1;SS;0;none;0;0;0;0;0;4;0
Weidlingbach;0;WB1;LS;0;none;0;0;0;0;0;4;0
Weidlingbach;0;WB1;SS;0;none;0;0;0;0;0;4;0
Weidlingbach;0;WB1;LS;0;none;0;0;0;0;0;4;0
Weidlingbach;0;WB1;SS;0;none;0;0;0;0;0;4;1
Weidlingbach;0;WB1;LS;0;none;0;0;0;0;0;4;0
Weidlingbach;0;WB1;LS;0;none;0;0;0;0;0;4;0
Weidlingbach;0;WB1;SS;0;none;0;0;0;0;0;4;0
Weidlingbach;0;WB1;LS;0;none;0;0;0;0;0;4;0
Weidlingbach;0;WB1;LS;1;bird;0;1;0;0;0;4;0
Weidlingbach;0;WB1;SS;1;bird;1;1;0;0;0;4;1
Weidlingbach;0;WB1;LS;0;none;0;0;0;0;0;4;1
Weidlingbach;0;WB1;SS;1;bird;0;1;0;0;0;4;0
Weidlingbach;0;WB1;LS;0;none;0;0;0;0;0;4;1
Weidlingbach;0;WB1;SS;0;none;0;0;0;0;0;4;0
Weidlingbach;0;WB1;LS;0;none;0;0;0;0;0;4;0
Weidlingbach;0;WB1;SS;0;none;0;0;0;0;0;4;0
Weidlingbach;0;WB1;LS;0;none;0;0;0;0;0;4;1
Weidlingbach;0;WB1;SS;0;none;0;0;0;0;0;4;0
Weidlingbach;0;WB1;LS;0;none;0;0;0;0;0;4;1
Weidlingbach;0;WB1;SS;0;none;0;0;0;0;0;4;0
Weidlingbach;0;WB1;LS;0;none;0;0;0;0;0;4;0
Weidlingbach;0;WB1;SS;0;none;0;0;0;0;0;4;1
Weidlingbach;0;WB1;LS;0;none;0;0;0;0;0;4;0
Weidlingbach;0;WB1;SS;0;none;0;0;0;0;0;4;0
Weidlingbach;0;WB1;LS;0;none;0;0;0;0;0;4;0
Weidlingbach;0;WB1;SS;0;none;0;0;0;0;0;4;0
Weidlingbach;0;WB1;LS;0;none;0;0;0;0;0;4;0
Weidlingbach;0;WB1;SS;0;none;0;0;0;0;0;4;0
Weidlingbach;0;WB1;LS;1;bird;1;1;0;0;0;4;0
Weidlingbach;0;WB1;SS;1;mammal;1;0;1;0;1;4;0
Weidlingbach;0;WB1;LS;0;none;0;0;0;0;0;4;0
Weidlingbach;0;WB1;SS;0;none;0;0;0;0;0;4;0
Weidlingbach;0;WB1;LS;0;none;0;0;0;0;0;4;0
Weidlingbach;0;WB1;SS;0;none;0;0;0;0;0;4;0
Weidlingbach;0;WB1;LS;0;none;0;0;0;0;0;4;0
Weidlingbach;0;WB1;SS;0;none;0;0;0;0;0;4;0
Weidlingbach;0;WB1;LS;0;none;0;0;0;0;0;4;1
Weidlingbach;0;WB1;SS;0;none;0;0;0;0;0;4;1
Weidlingbach;0;WB1;LS;1;bird;0;1;0;0;0;4;0
Weidlingbach;0;WB1;SS;0;none;0;0;0;0;0;4;1
Weidlingbach;0;WB1;LS;0;none;0;0;0;0;0;4;0
Weidlingbach;0;WB1;SS;0;none;0;0;0;0;0;4;1
Weidlingbach;0;WB1;LS;0;none;0;0;0;0;0;4;0
Weidlingbach;0;WB1;LS;0;none;0;0;0;0;0;4;0
Weidlingbach;0;WB1;SS;0;none;0;0;0;0;0;4;1
Weidlingbach;0;WB1;LS;0;none;0;0;0;0;0;4;0
Weidlingbach;0;WB1;SS;0;none;0;0;0;0;0;4;0
Weidlingbach;0;WB1;LS;0;none;0;0;0;0;0;4;0
Weidlingbach;0;WB1;SS;0;none;0;0;0;0;0;4;0
Weidlingbach;0;WB1;LS;0;none;0;0;0;0;0;4;0
Weidlingbach;0;WB1;SS;0;none;0;0;0;0;0;4;1
Weidlingbach;0;WB1;LS;0;none;0;0;0;0;0;4;0
Weidlingbach;0;WB1;SS;0;none;0;0;0;0;0;4;0
Weidlingbach;0;WB1;LS;0;none;0;0;0;0;0;4;0
Weidlingbach;0;WB1;SS;0;none;0;0;0;0;0;4;1
Weidlingbach;0;WB1;LS;0;none;0;0;0;0;0;4;1
Weidlingbach;0;WB1;SS;0;none;0;0;0;0;0;4;0
Weidlingbach;0;WB1;LS;0;none;0;0;0;0;0;4;0
Weidlingbach;0;WB1;SS;0;none;0;0;0;0;0;4;0
Weidlingbach;0;WB1;LS;0;none;0;0;0;0;0;4;0
Weidlingbach;0;WB1;SS;0;none;0;0;0;0;0;4;0
Weidlingbach;0;WB1;LS;0;none;0;0;0;0;0;4;0
Weidlingbach;0;WB1;SS;0;none;0;0;0;0;0;4;0
Weidlingbach;0;WB1;LS;0;none;0;0;0;0;0;4;1
Weidlingbach;0;WB1;SS;0;none;0;0;0;0;0;4;0
Weidlingbach;0;WB1;LS;0;none;0;0;0;0;0;4;0
Weidlingbach;0;WB1;SS;0;none;0;0;0;0;0;4;0
Weidlingbach;0;WB1;LS;0;none;0;0;0;0;0;4;1
Weidlingbach;0;WB1;SS;0;none;0;0;0;0;0;4;0
Weidlingbach;0;WB1;LS;0;none;0;0;0;0;0;4;1
Weidlingbach;0;WB1;SS;0;none;0;0;0;0;0;4;1
Weidlingbach;0;WB1;LS;0;none;0;0;0;0;0;4;0
Weidlingbach;0;WB1;SS;0;none;0;0;0;0;0;4;0
Weidlingbach;0;WB1;LS;0;none;0;0;0;0;0;4;1
Weidlingbach;0;WB1;SS;0;none;0;0;0;0;0;4;0
Weidlingbach;0;WB2;LS;0;none;0;0;0;0;0;4;0
Weidlingbach;0;WB2;SS;0;none;0;0;0;0;0;4;0
Weidlingbach;0;WB2;LS;0;none;0;0;0;0;0;4;0
Weidlingbach;0;WB2;SS;0;none;0;0;0;0;0;4;0
Weidlingbach;0;WB2;LS;0;none;0;0;0;0;0;4;0
Weidlingbach;0;WB2;LS;0;none;0;0;0;0;0;4;0
Weidlingbach;0;WB2;SS;0;none;0;0;0;0;0;4;0
Weidlingbach;0;WB2;LS;0;none;0;0;0;0;0;4;0
Weidlingbach;0;WB2;SS;0;none;0;0;0;0;0;4;0
Weidlingbach;0;WB2;LS;0;none;0;0;0;0;0;4;0
Weidlingbach;0;WB2;SS;0;none;0;0;0;0;0;4;0
Weidlingbach;0;WB2;LS;0;none;0;0;0;0;0;4;0
Weidlingbach;0;WB2;SS;0;none;0;0;0;0;0;4;0
Weidlingbach;0;WB2;SS;0;none;0;0;0;0;0;4;0
Weidlingbach;0;WB2;LS;1;bird;0;1;0;0;0;4;0
Weidlingbach;0;WB2;SS;0;none;0;0;0;0;0;4;0
Weidlingbach;0;WB2;LS;0;none;0;0;0;0;0;4;1
Weidlingbach;0;WB2;SS;0;none;0;0;0;0;0;4;0
Weidlingbach;0;WB2;LS;0;none;0;0;0;0;0;4;0
Weidlingbach;0;WB2;SS;0;none;0;0;0;0;0;4;0
Weidlingbach;0;WB2;LS;0;none;0;0;0;0;0;4;0
Weidlingbach;0;WB2;SS;0;none;0;0;0;0;0;4;0
Weidlingbach;0;WB2;LS;1;mammal;0;0;1;0;0;4;0
Weidlingbach;0;WB2;SS;1;mammal;0;0;1;0;0;4;0
Weidlingbach;0;WB2;LS;0;none;0;0;0;0;0;4;0
Weidlingbach;0;WB2;SS;0;none;0;0;0;0;0;4;1
Weidlingbach;0;WB2;LS;0;none;0;0;0;0;0;4;0
Weidlingbach;0;WB2;SS;0;none;0;0;0;0;0;4;0
Weidlingbach;0;WB2;LS;0;none;0;0;0;0;0;4;0
Weidlingbach;0;WB2;SS;1;bird;0;1;0;0;0;4;1
